variable,level,exp,rmse,corr,bias,stdratio
z,700,conv,171.62347718149795,0.978173853763336,-155.4823416408409,1.0595174698636731
z,700,convsat,58.94049393792951,0.993264942648981,-44.89184277249002,0.9750487877218804
z,700,noRO,197.22862374473726,0.9708364313633444,-178.90692529041598,1.0575220877374394
z,700,RO3ch,390.7114832274031,0.7486201048051458,-315.3799367762748,0.9977371247497858
z,700,RObangle,416.7633149565724,0.5796964002577252,-318.4288648297755,0.7132505386611145
z,700,cpu,171.60595923824508,0.9782983010469766,-155.57158927454566,1.0591794128214842
z,700,mpsbroken,548.6634771640796,0.4709981997326397,-436.44920416129196,0.9851404554675948
z,600,conv,228.75106351368103,0.993136776999256,-217.54003957454034,1.0866838153720721
z,600,convsat,65.74825905609183,0.9972488128425524,-54.96502511464415,0.9787911334268287
z,600,noRO,259.13299717809804,0.9917397844603087,-247.37082002043357,1.0930114367181487
z,600,RO3ch,538.2638504746764,0.89417809891129,-491.1525829972637,1.0244444665536463
z,600,RObangle,617.3938817824585,0.7982016705398078,-547.8135163169983,0.7738815854281543
z,600,cpu,228.54314454880156,0.9931785468738917,-217.45598876080896,1.0857618926461483
z,600,mpsbroken,747.6329473229774,0.720074151845834,-644.1977989145548,1.1249262225015568
z,500,conv,305.3124579749638,0.9970534109200775,-294.7834423745078,1.08806648930915
z,500,convsat,75.97536521398457,0.9985917568455002,-66.12555631072453,0.9805920672956374
z,500,noRO,342.8775775866798,0.9969240048420375,-331.10308968102566,1.1048683031005935
z,500,RO3ch,735.870680639994,0.9604637442136066,-708.3015103389586,1.0689417732654858
z,500,RObangle,885.3695972862405,0.8976687974260986,-834.4279859459184,0.8501641315087393
z,500,cpu,304.93367204968774,0.9970311490751382,-294.56443736798474,1.0865302409854378
